ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FINC,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,METRO,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,AREA,BEDR,COMP,FNSQ,FFNSQ,FPLS,FULB,HAFB,LOTV,PVALU,SALE,FSQFS,STRT,CONPR,SLPR,SQFS,WEIGHT,FUEL,FUEL2,FCONPR,FSLPR,AREA_F,FNSQ_F,FFNSQ_F,SLPR_F,FSLPR_F,CONPR_F,FCONPR_F,LOTV_F,SQFS_F,FSQFS_F,PVALU_F,AUTH
1,2,2,1,1,0,0,1,1,1,0,1,2,1,3,2,0,3,1,3,2,1,1,2,8,0,2,1,43560,5,201412,1200,0,2,4,2,0,675000,0,,201402,0,0,5832,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201311
1,2,1,3,1,0,0,1,2,1,0,0,1,1,2,2,0,3,1,3,2,2,1,2,5,7,1,1,0,3,0,0,0,0,2,1,0,183600,0,,201404,0,0,1944,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201404
1,2,2,1,1,0,2,1,1,1,1,2,1,1,3,2,0,3,1,3,2,1,2,2,5,0,2,1,56628,5,0,0,0,2,2,1,0,0,201512,,201511,0,0,3666,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201511
1,2,2,1,1,0,2,1,2,1,4,1,2,1,2,2,0,2,1,3,2,1,1,2,5,7,1,1,0,3,0,0,0,1,2,1,0,275800,201510,,201603,0,641500,2684,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201601
1,2,2,1,1,0,0,2,1,1,0,2,2,1,2,3,0,3,1,3,1,2,1,2,5,0,2,1,87120,4,0,0,0,1,2,1,0,377000,0,,201407,0,0,2808,27,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201406
1,2,1,1,1,0,0,2,1,1,0,2,1,1,2,2,0,3,1,3,1,2,1,2,5,0,2,1,30492,4,0,0,0,1,2,1,0,345600,0,,201507,0,0,2856,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201506
1,2,1,1,1,0,1,1,2,1,1,1,1,1,2,2,0,2,1,3,1,2,1,2,5,7,1,1,0,3,201503,400,0,1,2,1,0,358300,201408,2376,201405,0,0,2376,35,2,0,0,616400,0,0,0,0,0,0,0,0,0,0,0,201405
1,2,1,1,1,0,0,2,1,1,0,2,1,1,2,2,0,2,1,3,1,1,1,2,5,7,1,1,0,3,0,0,0,1,2,1,0,145400,0,,201507,0,0,2618,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201507
1,1,1,1,1,0,0,2,1,1,0,2,1,1,2,2,0,2,1,3,2,1,2,2,5,0,2,1,0,2,201508,0,0,1,2,1,0,0,0,,201203,0,0,2350,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201203
2,2,2,1,1,0,2,1,1,1,1,2,2,1,3,4,0,2,1,3,2,1,1,2,5,0,2,1,27930,3,201602,0,0,1,2,1,0,210000,201506,2376,201508,0,0,2376,52,3,0,0,423000,0,0,0,0,0,0,0,0,0,0,0,201508
1,2,2,1,1,0,2,1,1,1,1,2,1,1,3,2,0,2,1,3,1,1,2,2,5,0,2,1,87120,5,201507,0,0,2,3,1,175000,0,201512,,201411,0,679000,3100,29,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201411
1,2,2,1,1,0,2,2,1,1,1,1,,1,2,2,0,3,1,1,1,1,1,2,8,7,1,1,9000,4,201510,720,0,1,3,1,225000,318000,201507,2798,201504,0,749000,2798,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201504
1,2,2,1,1,0,2,1,1,1,1,2,1,1,2,2,0,3,1,3,2,2,2,2,5,0,2,2,35720,4,201512,0,0,1,2,1,0,415200,201508,3564,201506,0,0,3564,77,3,0,0,579900,0,0,0,0,0,0,0,0,0,0,0,201408
